species,gen,rank,time,speed,turn speed,sight,type,size,starting hunger,low mutation boundary,mutation range
prey,1,1,8.574,5,15,20,1,100,24.88058731552297,0,0
prey,1,2,7.685,5,15,20,1,100,24.77807088213484,0,0
prey,1,3,7.519,5,15,20,1,100,25.291204301456652,0,0
prey,2,1,13.267,5,15,20,1,100,24.922877627295417,0,0
prey,2,2,9.836000000000002,5,15,20,1,100,24.922877627295417,0,0
prey,2,3,7.656000000000002,5,15,20,1,100,24.922877627295417,0,0
prey,3,1,11.546999999999997,5,15,20,3,100,25.020351610206518,0,0
prey,3,2,9.836000000000002,5,15,20,1,100,24.922877627295417,0,0
prey,3,3,7.656000000000002,5,15,20,1,100,24.922877627295417,0,0
prey,4,1,8.245000000000005,5,15,20,1,100,25.02362591477492,0,0
prey,4,2,9.836000000000002,5,15,20,1,100,24.922877627295417,0,0
prey,4,3,7.656000000000002,5,15,20,1,100,24.922877627295417,0,0
prey,5,1,8.283000000000001,5,15,20,3,100,25.14595817889991,0,0
prey,5,2,9.836000000000002,5,15,20,1,100,24.922877627295417,0,0
prey,5,3,8.218000000000004,5,15,20,3,100,25.14595817889991,0,0
prey,6,1,8.481000000000009,5,15,20,1,100,25.152816350983883,0,0
prey,6,2,9.836000000000002,5,15,20,1,100,24.922877627295417,0,0
prey,6,3,8.218000000000004,5,15,20,3,100,25.14595817889991,0,0
prey,7,1,8.355999999999995,5,15,20,3,100,25.366528183870248,0,0
prey,7,2,9.836000000000002,5,15,20,1,100,24.922877627295417,0,0
prey,7,3,8.287999999999997,5,15,20,3,100,25.14028517844471,0,0
prey,8,1,8.580000000000013,5,15,20,2,100,24.486887416897922,0,0
prey,8,2,9.836000000000002,5,15,20,1,100,24.922877627295417,0,0
prey,8,3,8.416000000000011,5,15,20,2,100,24.486887416897922,0,0
prey,9,1,9.674000000000007,5,15,20,3,100,24.11323836177994,0,0
prey,9,2,9.836000000000002,5,15,20,1,100,24.922877627295417,0,0
prey,9,3,9.179000000000002,5,15,20,2,100,25.04824434575796,0,0
prey,10,1,5.481999999999999,5,15,20,3,100,24.93999078473439,0,0
prey,10,2,9.836000000000002,5,15,20,1,100,24.922877627295417,0,0
prey,10,3,9.179000000000002,5,15,20,2,100,25.04824434575796,0,0
prey,11,1,11.680000000000007,5,15,20,3,100,25.453520649850205,0,0
prey,11,2,11.646999999999991,5,15,20,2,100,25.31108579457269,0,0
prey,11,3,11.449000000000012,5,15,20,2,100,25.31108579457269,0,0
prey,12,1,10.064000000000021,5,15,20,1,100,25.509587221797208,0,0
